appname,appid,metadata_category,metadata_severity,metadata_comment,metadata_reference,service
Azure AD Sync (from AADInternals) | Microsoft Azure Active Directory Connect [Community Contributed],cb1056e2-e479-49de-ae31-7812af012ed8,risky,medium,,https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Azure Portal,c44b4083-3bb0-49c1-b47d-974e53cbdf3c,risky,info,observed in some BEC but subject to many false positives,https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
CloudSponge,a43e5392-f48b-46a4-a0f1-098b5eeb4757,risky,high,CloudSponge is a software-as-a-service product that imports all the major address books. Most websites use our product so that their users don't have to type email addresses into their referral forms when they want to send an invitation - greeting card or coupon to someone they know,https://github.com/randomaccess3/detections/blob/main/M365_Oauth_Apps/MaliciousOauthAppDetections.json | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Edison Mail,62db40a4-2c7e-4373-a609-eda138798962,risky,medium,"ByteIntoCyber lists this as Edison Mail with full mailbox synchronization capability seen in BEC investigation context. EntraHunt labels the same ID differently, so keep the ByteIntoCyber name and note the conflict in the review file.",https://raw.githubusercontent.com/anak0ndah/EntraHunt/main/data/threats.json | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
eM Client,e9a7fea1-1cc0-4cd9-a31b-9137ca5deedd,risky,critical,desktop-based email solution fully synchronized with O365 - abused for data exfiltration,https://github.com/mthcht/awesome-lists/blob/main/Lists/microsoft_apps_list.csv | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
EXO Remote PowerShell (from AADInternals),a0c73c16-a7e3-4564-9a95-2bdf47383716,risky,low,,https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Fastmail,77468577-4f6e-40e7-b745-11d3d0c28095,risky,critical,,https://github.com/randomaccess3/detections/blob/main/M365_Oauth_Apps/MaliciousOauthAppDetections.json | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Microsoft Account Controls V2,7eadcef8-456d-4611-9480-4fff72b8b9e2,risky,low,Legitimate Microsoft app noted by ByteIntoCyber in suspicious Microsoft 365 applications during BEC investigations; hunt/context only.,https://byteintocyber.com/microsoft-365-application-ids-bec-investigation-resources/ | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Microsoft Azure CLI,04b07795-8ddb-461a-bbee-02f9e1bf7b46,risky,medium,,https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Microsoft Azure PowerShell,1950a258-227b-4e31-a9cf-717495945fc2,risky,low,,https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Microsoft Edge,e9c51622-460d-4d3d-952d-966a5b1da34c,risky,medium,ByteIntoCyber notes this Microsoft Edge-related app ID in the context of synchronizing saved passwords in Microsoft Wallet; hunt/context only.,https://byteintocyber.com/microsoft-365-application-ids-bec-investigation-resources/ | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Microsoft Edge,ecd6b820-32c2-49b6-98a6-444530e5a77a,risky,low,Legitimate Microsoft Edge app ID listed by ByteIntoCyber under suspicious Microsoft 365 applications during BEC investigations; hunt/context only.,https://byteintocyber.com/microsoft-365-application-ids-bec-investigation-resources/ | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Microsoft Edge,f44b1140-bc5e-48c6-8dc0-5cf5a53c0e34,risky,low,Legitimate Microsoft Edge-related app ID listed by ByteIntoCyber under suspicious Microsoft 365 applications during BEC investigations; hunt/context only.,https://byteintocyber.com/microsoft-365-application-ids-bec-investigation-resources/ | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Microsoft Outlook,5d661950-3475-41cd-a2c3-d671a3162bc1,risky,low,Legitimate Outlook client; ByteIntoCyber marks as mailbox exfiltration risk if used by an attacker. Keep in risky legitimate for hunting only.,https://byteintocyber.com/microsoft-365-application-ids-bec-investigation-resources/ | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
MS Graph API (from AADInternals) | Azure Active Directory PowerShell,1b730954-1685-4b74-9bfd-dac224a7b894,risky,medium,,https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
My Profile,8c59ead7-d703-4a27-9e55-c96a0054c8d2,risky,low,"Legitimate Microsoft app observed during BEC investigation workflows before MFA modification; hunt/context only, not malicious.",https://byteintocyber.com/microsoft-365-application-ids-bec-investigation-resources/ | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
My Signins,19db86c3-b2b9-44cc-b339-36da233a3be2,risky,low,"Legitimate Microsoft app observed in BEC investigations for MFA modification. EntraHunt labels this ID as Mailspring, so keep this as a name conflict to review.",https://raw.githubusercontent.com/anak0ndah/EntraHunt/main/data/threats.json | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
