appname,appid,metadata_category,metadata_severity,metadata_comment,metadata_reference,service
0365 Access | Mail Client,fc5d3843-d0e8-4c3f-b0ee-6d407f667751,malicious,critical,OwnerTenantId=2c08ab0d-eed9-4034-bfb7-765c52eceef9; OwnerTenantDomains=; LastSeen=2019,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Adobe,5037c1a6-7cfc-48b5-b887-f2a045937081,malicious,critical,OwnerTenantId=0648fcb2-de2a-4a11-bd97-872c9b1a452b; OwnerTenantDomains=damiongosamemorialfo.onmicrosoft.com; dgm-f.org; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Adobe,58427324-4e5d-4441-b029-cd2d532b47d7,malicious,critical,OwnerTenantId=619849e9-5192-4c3f-b0f3-8469980c3958; OwnerTenantDomains=nceconomicresourcecouncil.onmicrosoft.com; ncerc.org; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Adobe,706e0542-2dfb-4e7f-98f0-1e17eab6d5b8,malicious,critical,OwnerTenantId=d8320d6d-7982-471e-965c-d001308ed36e; OwnerTenantDomains=times-7.com; times7research.onmicrosoft.com; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
adobe,b0d8ea55-bc29-436c-9f8b-f8829030261d,malicious,critical,OwnerTenantId=0648fcb2-de2a-4a11-bd97-872c9b1a452b; OwnerTenantDomains=damiongosamemorialfo.onmicrosoft.com; dgm-f.org; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Adobe,c4d0b015-689a-4bcf-b69b-3ed5005fddb6,malicious,critical,OwnerTenantId=9c036328-3aba-4d35-aceb-6456f9420b31; OwnerTenantDomains=thermion.se; thermionse.mail.onmicrosoft.com; thermionse.onmicrosoft.com; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Adobe,c52517b0-46eb-4d61-975a-771d9978dac0,malicious,critical,OwnerTenantId=a205f03e-e6ab-412e-a1f9-360f848b3705; OwnerTenantDomains=anchorsgordon.com; anchorsgordon.onmicrosoft.com; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Adobe,f927b0f3-6fce-4d59-a246-904fa7317969,malicious,critical,"replyUrls=[   ""https://accposteamworkspace.myclickfunnels.com/home"" ]; homepage=nan; appOwnerOrganizationId=7a481da3-712d-4973-8e61-41cf8ead92c8",https://github.com/Cyera-Research-Labs/m365-malicious-app-iocs | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Adobe Acrobat,355d1228-1537-4e90-80a6-dae111bb4d70,malicious,critical,Proofpoint/RH-ISAC Microsoft OAuth app impersonation campaign; malicious Microsoft OAuth Application ID; first seen 2025-02-19,https://rhisac.org/threat-intelligence/microsoft-oauth-app-impersonation-leads-to-mfa-phishing/ | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
Adobe Drive,14b2864e-3cff-4d33-b5cd-7f14ca272ea4,malicious,critical,OwnerTenantId=5fddfbb7-41a3-4bbe-b98c-29827d092e19; OwnerTenantDomains=; LastSeen=2025,https://www.wiz.io/blog/detecting-malicious-oauth-applications | https://github.com/mthcht/awesome-lists/blob/main/Lists/OAuth/entra_oauth_apps.csv,entra
